vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;636;25735;0;10.85;30.67;87.53;430.13
0;637;48305;0;0;4.14;30.78;156.17
0;638;39357;0;0;0;4.46;77.34
0;639;12334;0;1.56;12.99;46.13;202.33
0;640;8299;0;0;1.83;16.44;84.47
0;650;291728;95.38;158.54;286.26;910.78;4573.71
0;651;258652;13.43;41.91;63.23;120.8;638.15
0;660;1953059;19.38;449.57;1037.91;1872.93;4102.86
0;661;1908122;0;11.44;94.7;984.38;6110.85
0;662;27702;7.15;29.25;65.87;158.16;578.92
0;663;2017587;0.82;9.52;35.91;123.45;1246.2
0;664;544292;0;17.35;73.99;246.28;1472.27
0;680;825574;48.05;122.36;372.11;1560.51;9650.95
0;681;1124044;18.41;74.51;199.77;868.83;6196.76
0;682;576223;39.37;78.24;172.86;479.45;2763.88
0;683;670262;0.22;40.74;106.9;424.22;1916.02
0;690;4156282;6.94;174.83;1483.42;5284.26;12351
0;691;4840463;3.54;92.71;390.97;1280.28;4542.32
0;692;279075;0;25.53;154.01;428.82;1661.29
0;693;20101688;32.22;298.64;546.56;931.67;2468.24
0;694;1068619;1.24;24.3;129.68;504.2;2240.48
0;710;1320952;24.95;171.83;636.49;1782.91;5991.9
0;711;756266;31.08;130.24;350.29;884.25;3359.63
0;720;3607413;23.39;144.74;359.22;918.24;2993.24
0;721;613448;6.69;70.61;167.72;382.67;1461.53
0;722;504195;0;6.27;45.64;197.86;1216.73
0;723;510473;0;2.21;15.26;62.74;345.31
0;724;768207;0;22.4;87.01;290.02;1763.54
0;740;391856;17.4;74.42;173.05;414.18;1488.82
0;750;39093;0;3.67;28.16;85.72;272.92
0;751;503880;0;10.64;35.66;88.57;313.17
0;752;39134;0;0.69;9.59;37.24;169
0;753;73132;0;7.86;26.7;77.13;283.77
0;754;459771;0;5.27;19.87;55.09;207.01
0;755;65287;0;0.82;10.86;39.68;147.27
0;756;312015;0;2.26;15.81;62.06;276.54
0;757;1540123;0;20.57;68.93;182.78;782.93
0;758;25210;0;0;0.87;16.06;104.54
0;759;83874;0;4.71;29.8;150.29;785.41
0;760;83486;0;0;0;0;99.7
0;770;27459;0;1.06;6.02;19.34;101.63
0;771;26664;0.2;12.56;31.13;76.92;312.2
0;772;4511;0;8.35;24.48;44.74;137.23
0;773;75236;0;4.02;16.56;79.29;1626.54
0;774;3340;0;2.04;7.92;24.48;127.44
0;775;578158;0;3.17;12.93;45.4;208.7
0;776;85281;0;4.31;18.06;62.76;267.86
0;790;380651;10.91;47.09;97.97;270.27;1705.62
0;791;1022029;15;56.49;113.66;284.19;1727.81
0;792;369682;10.81;41.54;78.66;190.6;1199.46
0;810;187314;0;4.34;34.71;116.06;530.82
0;811;60102;0;8.42;20.97;50.53;212.81
0;812;844527;0;2.38;9.04;32.24;274.5
0;813;633239;0;13.57;49.11;142.78;859.51
0;814;10545;0;0;0.1;15.02;105.94
0;815;209360;0;0;9.41;46.19;755.5
0;830;88718;21.78;52.92;225.87;1186.95;13592.09
0;831;36149;1530.28;1530.28;18074.63;34618.98;34618.98
0;832;205952;12.94;47.63;125.93;513.34;5667.46
0;833;38682;0;26.53;67.55;201.34;1000.98
0;840;72997;0;14.72;36.44;89.89;413.63
0;850;1013834;0;23.96;67.48;176.53;1191.71
0;860;1586372;0.81;33.02;102.42;278.8;1139.75
0;861;633633;0;1.86;21.02;102.25;763.45
0;862;1734203;0;0;0;7.41;167.7
0;871;34709;1152.06;1655.81;2195.4;7024.04;11806.83
0;872;51198;31.47;507.99;804.19;3041.49;8186.86
0;873;35383;22.88;67.84;220.68;526.63;1557.71
0;890;137389;169.95;879.78;2151.81;3976.64;10562.11
0;891;205248;8.53;178.26;543.18;1625.79;6572.53
0;892;60000;3.18;135.24;369.5;849.06;2349.67
0;893;167452;1.63;82.56;246.6;670.44;2152.58
0;894;55371;0;13.05;133.41;501.77;1467.52
0;910;1004516;151.51;374.54;799.07;2176.35;6852.81
0;911;922312;143.65;370.87;814.35;1739.58;6745.2
0;930;364608;7.93;73.85;217.35;531.81;2645.78
0;931;31722;10.59;82.54;188.38;334.02;1060.75
0;950;6113537;20.49;97.49;290.09;940.88;3884.62
0;951;504658;74.44;173.71;372.13;816.46;2224.55
0;952;2252043;8.4;54.5;128.88;346.26;1635.67
0;955;23278;0;0;13.54;45.63;277.12
0;956;160663;0.67;24.43;87.1;200.49;1141.24
