vrai_hop;rdrg;SI;N;moy_gemid
0;420;3;1155;3.83
0;420;4;216;17.41
0;421;1;1091;0.09
0;421;2;2781;0.34
0;421;3;643;4.29
0;421;4;88;18.2
0;422;1;1941;0.18
0;422;2;2750;0.91
0;422;3;1292;7.08
0;422;4;563;6.26
0;423;1;204;4.48
0;423;2;180;8.15
0;423;3;44;13.97
0;423;4;16;16.06
0;424;1;1132;0.21
0;424;2;1451;3.41
0;424;3;532;3.88
0;424;4;62;10.64
0;440;1;44;2.67
0;440;2;192;15.83
0;440;3;136;46.32
0;440;4;33;61.85
0;441;1;130;1500.42
0;441;2;291;73.61
0;441;3;384;52.58
0;441;4;78;142.81
0;442;1;497;26.41
0;442;2;454;11.81
0;442;3;211;71.71
0;442;4;132;86.28
0;443;1;1807;26.31
0;443;2;855;40.21
0;443;3;319;72.97
0;443;4;105;149.78
0;444;1;71;215.5
0;444;2;79;151.71
0;444;3;13;74.68
0;445;1;1085;83.07
0;445;2;496;31.31
0;445;3;130;55.71
0;445;4;26;3.37
0;446;1;8760;3.26
0;446;2;3721;13.64
0;446;3;524;9.44
0;446;4;61;36.07
0;447;1;597;375.25
0;447;2;601;277.9
0;447;3;244;234.23
0;447;4;52;390.05
0;460;1;370;7.56
0;460;2;1249;8.9
0;460;3;1081;10.67
0;460;4;283;23.48
0;461;1;318;8.2
0;461;2;644;10.5
0;461;3;356;38.11
0;461;4;42;15.73
0;462;1;293;0.65
0;462;2;257;1.92
0;462;3;132;7.85
0;462;4;16;6.37
0;463;1;5376;0.62
0;463;2;4230;1.13
0;463;3;1627;3.47
0;463;4;241;9.78
0;464;1;1702;3.56
0;464;2;631;0.65
0;464;3;34;4.71
0;464;4;3;0
0;465;1;7227;1.22
0;465;2;2725;3.25
0;465;3;286;5.11
0;465;4;26;10.19
0;466;1;133;1.34
0;466;2;485;14.46
0;466;3;335;14.23
0;466;4;28;20.04
0;467;1;1335;0.65
0;467;2;940;1.67
0;467;3;198;17.19
0;467;4;35;3.93
0;468;1;1688;4.87
0;468;2;1906;5.84
0;468;3;467;11.17
0;468;4;57;37.33
0;480;1;3027;6.82
0;480;2;1121;11.97
0;480;3;137;1.13
0;480;4;44;79.72
0;481;1;1173;2.99
0;481;2;110;754.55
0;481;3;38;135.25
0;481;4;3;37.44
0;482;1;5880;1.41
0;482;2;2761;14.96
0;482;3;498;32.12
0;482;4;77;82.73
0;483;1;4526;3.43
0;483;2;545;7.06
0;483;3;50;3.78
0;483;4;7;718.01
0;484;1;1888;4.11
0;484;2;570;16.91
0;484;3;199;69.48
0;484;4;14;35.04
0;500;1;501;7.09
0;500;2;852;9.35
0;500;3;315;4.78
0;500;4;46;35.34
0;501;1;1683;0.29
0;501;2;848;0.26
0;501;3;194;14.73
0;501;4;26;2.56
0;510;1;1251;44.03
0;510;2;540;31.19
0;510;3;112;40.59
0;510;4;89;192.52
0;511;1;229;62.23
0;511;2;229;93.68
0;511;3;72;112.36
0;511;4;16;256.54
0;512;1;549;59.51
0;512;2;247;62.72
0;512;3;27;56.07
0;512;4;11;170.87
0;513;1;19548;64.72
0;513;2;3330;59.94
0;513;3;249;53.9
0;513;4;45;107.59
0;514;1;3774;9.62
0;514;2;637;11.43
0;514;3;75;8.97
0;514;4;11;9.65
0;515;1;1974;5.89
0;515;2;254;13.9
0;515;3;39;2.15
0;515;4;5;88.83
0;516;1;3499;12.57
0;516;2;336;23.86
0;516;3;36;78.71
0;516;4;11;114.06
0;517;1;3593;3.19
0;517;2;510;5.61
0;517;3;50;23.49
0;517;4;4;46.3
0;518;1;621;25.99
0;518;2;220;61.83
0;518;3;47;93.86
0;518;4;21;113.75
0;530;1;302;16.31
0;530;2;623;19.62
0;530;3;450;34.24
0;530;4;51;40.43
0;531;1;648;0.78
0;531;2;224;1.32
0;531;3;39;0.78
0;531;4;3;0
0;532;1;1659;6.91
0;532;2;458;12.82
0;532;3;79;5.62
0;532;4;3;0
0;540;1;9291;0.01
0;540;2;5760;0.36
0;540;3;1646;0.5
0;540;4;93;17.92
0;541;1;353;1.24
0;541;2;213;3.19
0;541;3;60;4.65
0;541;4;4;170.42
0;542;1;238;0
0;542;2;200;6.4
0;542;3;50;0
0;542;4;6;65.41
0;543;1;213;5.18
0;543;2;98;12.14
0;543;3;27;40.29
0;543;4;5;921.22
0;544;1;3131;1.16
0;544;2;391;1.86
0;544;3;20;0
0;560;1;58718;0.01
0;560;2;21169;0.02
0;560;3;3100;0.08
0;560;4;41;2.77
0;561;1;343;0.17
0;561;2;256;2.21
0;561;3;36;6.28
0;561;4;2;0
0;562;1;1025;138.08
0;562;2;203;119.71
0;562;3;26;102.69
