vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;424;4;70;38;60;74;84;92
0;425;1;55;0;40;64;79;89
0;425;2;67;5;59;73;83;91
0;425;3;71;30;63;75;84;92
0;425;4;71;45;62;72;83;91
0;440;1;50;23;40;54;61;67
0;440;2;52;23;44;55;64;70
0;440;3;53;24;45;55;63;71
0;440;4;50;5;40;56;63;72
0;441;1;60;24;49;64;73;84
0;441;2;65;29;57;69;76;85
0;441;3;69;46;64;72;78;85
0;441;4;71;50;65;72;81;87
0;442;1;67;46;59;68;76;84
0;442;2;68;47;61;70;77;86
0;442;3;70;47;63;71;80;89
0;442;4;71;53;62;75;81;87
0;443;1;53;18;40;54;66;82
0;443;2;63;23;53;67;77;87
0;443;3;66;30;58;68;79;87
0;443;4;69;39;61;72;81;90
0;444;1;67;35;62;70;77;85
0;444;2;66;39;59;68;76;85
0;444;3;64;25;55;69;78;88
0;444;4;80;59;77;82;87;89
0;445;1;62;29;53;65;74;86
0;445;2;69;36;63;73;80;89
0;445;3;75;44;70;78;85;90
0;445;4;76;57;69;75;86;90
0;446;1;62;30;51;64;74;86
0;446;2;70;40;61;73;81;89
0;446;3;73;36;66;78;85;93
0;446;4;77;59;69;79;87;92
0;447;1;54;18;32;58;73;87
0;447;2;63;28;52;66;76;86
0;447;3;69;38;61;71;80;90
0;447;4;72;52;66;73;80;88
0;461;1;69;50;62;69;78;87
0;461;2;73;49;67;75;83;92
0;461;3;76;56;69;79;86;92
0;461;4;74;55;67;76;84;90
0;462;1;33;3;10;29;51;71
0;462;2;45;4;18;51;67;82
0;462;3;55;4;43;63;74;88
0;462;4;60;1;45;67;77;88
0;463;1;32;0;2;26;56;84
0;463;2;60;0;44;73;84;92
0;463;3;76;31;71;81;88;94
0;463;4;79;52;73;83;88;94
0;465;1;49;22;37;48;60;76
0;465;2;53;24;40;53;65;81
0;465;3;67;32;56;71;81;90
0;465;4;69;41;59;70;82;90
0;466;1;61;21;50;66;75;87
0;466;2;68;31;58;73;83;91
0;466;3;64;23;54;68;80;90
0;466;4;68;32;58;72;83;91
0;468;1;65;20;57;70;80;89
0;468;2;71;36;64;75;83;91
