vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;591;3;16;16;22226.75;70.48;733.95;1139.2;1542.58;5046.4
0;591;4;73;73;140940.7;292.8;1311.08;1702.51;2372.37;4242.24
0;593;1;2;2;1424.48;79.4;79.4;712.24;1345.08;1345.08
0;593;2;35;34;24760.91;20;178.88;555.03;1043.68;2193.94
0;593;3;67;67;75269.03;186.8;627.37;999.61;1603.04;2512.75
0;593;4;125;125;215959.05;153.4;1025.1;1531.28;2253.61;3961.84
0;602;1;7;7;1278.64;45.48;62.12;98.92;167.24;671.76
0;602;2;41;40;23251.72;43.04;186.7;332.88;937.79;1603.8
0;602;3;72;72;73033.54;80.28;670.18;981.6;1198.62;2225.73
0;602;4;67;67;110400.5;259.24;1006.76;1365.86;2041.78;3532.78
0;603;1;6;6;422.96;12.24;36.92;47.44;113.36;165.56
0;603;2;19;19;10847.11;5.72;171.28;248.88;839.96;2000.34
0;603;3;15;15;11529.19;106.4;196.36;920.12;1234.28;1817.45
0;603;4;11;11;16518.07;231.08;926.64;1098.84;2292.25;3316.03
0;607;1;18;18;6864.77;6.96;53.52;115.38;687.17;1446.04
0;607;2;65;64;35170.58;49.76;98.68;255.47;930;1586.98
0;607;3;109;109;106079.62;85.72;279.2;964.52;1422.29;2364.04
0;607;4;38;38;49080.52;125.2;714.43;1098.59;1645.8;3298.23
0;608;1;31;29;3428.01;5.36;39.92;72.52;130.92;478.88
0;608;2;33;33;11225.05;30.48;65.32;170.64;440.79;1312.2
0;608;3;15;15;11044.94;13.92;140.88;873.72;1040.52;2281.17
0;608;4;7;7;9336.16;889.96;951.68;1334.08;1567.73;2079.42
0;609;1;1;1;12.12;12.12;12.12;12.12;12.12;12.12
0;609;2;2;2;1616.33;448.76;448.76;808.16;1167.57;1167.57
0;609;3;20;20;15922.01;184.54;324.98;606.66;954.79;2338.32
0;609;4;37;37;65261.5;116.8;548.14;1080.84;2688.27;5657.48
0;611;1;26;21;3100.62;4.4;18.88;41.46;104.72;628.2
0;611;2;40;39;10462.94;6.84;38.52;81.64;169.04;1741.52
0;611;3;84;83;47027.45;23.92;135.86;277.64;911.86;1986.85
0;611;4;30;30;41342.13;68;234.52;1150.34;1904.4;4153.85
0;612;1;36;35;14803.76;8.12;48.36;115;596.04;1878.53
0;612;2;127;127;60542.17;12.2;76.8;164.72;731.49;1828.37
0;612;3;91;91;89203.48;66.08;173.68;948;1493.64;2406.17
0;612;4;18;18;26189.46;9.36;536.13;1499.6;2002.19;5263.02
0;613;1;11;9;421.56;2.64;4.32;15;65.76;206.56
0;613;2;24;24;8539.8;6.68;75.08;135.02;461.86;1733.36
0;613;3;19;19;12335.29;7.48;146.36;587.42;876.48;2066.96
0;613;4;1;1;2498.44;2498.44;2498.44;2498.44;2498.44;2498.44
0;614;1;174;149;12591.09;3.96;20.67;51.4;105.44;220.96
0;614;2;97;89;19435.95;1.8;10.04;55.84;168.52;1316.6
0;614;3;49;48;12378.76;9.8;87.4;138.8;253.62;829.85
0;614;4;2;2;3530.5;875.25;875.25;1765.25;2655.25;2655.25
0;621;1;23;20;3077.89;1.52;4.8;17.1;185.36;865.3
0;621;2;49;41;6338.92;1.76;9.32;49.12;113.4;459.52
0;621;3;65;65;41377.36;5.36;85.32;162.08;1342.24;1936.58
0;621;4;22;22;33753.01;54.92;292.16;899.14;2584.8;5302.27
