vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;130;1;7;7;87.9;4.6;5;9.7;21.7;27.2
0;130;2;31;28;465.3;3.7;6.2;10;17.5;39.7
0;130;3;210;203;4096.6;3;8.5;14.3;27.3;48.7
0;130;4;1580;1559;48667.1;5;12.6;22.3;41;84
0;131;1;71;59;1496;1.4;5;10;30;96.2
0;131;2;203;165;5594.4;2.5;9.3;24;49;96.5
0;131;3;360;332;13047.2;5;12.4;32.9;57.1;99
0;131;4;181;174;10136.2;6;29.2;45.3;73.2;127.4
0;132;1;22;7;34.8;1.7;2.6;4.6;6;10.3
0;132;2;37;14;102.6;1.1;4.6;6.2;9.1;19.7
0;132;3;30;18;167.5;3.3;5.2;8.1;11.5;26.1
0;132;4;11;7;69.9;4;4.6;10;16.6;19
0;133;1;188;76;580.2;0.5;2.1;6.6;11.6;22.9
0;133;2;551;157;1461.9;0.6;4;7.4;11;29.1
0;133;3;684;387;4578.3;0.6;4.6;8.3;13.6;35.3
0;133;4;268;218;4792.7;1.1;5.4;13.6;26.4;67.2
0;134;1;559;124;876.5;0.6;3.4;5.7;9;17
0;134;2;2197;564;4806.2;1;4.5;7.5;10.9;20.6
0;134;3;1493;780;8851.4;1;5.4;9.1;14.1;29
0;134;4;415;303;5536.5;1.1;7;12.3;24.2;53.7
0;135;1;519;44;206.1;0.4;1.1;3;7.1;12
0;135;2;788;178;1246.8;1;3.5;6.3;9.1;16.3
0;135;3;410;221;2429.6;1.5;5.3;8.3;13.8;30.9
0;135;4;100;84;1537.7;0.6;5.2;12;21.9;55.4
0;136;1;519;68;451.7;0.3;1.7;5;11;19.7
0;136;2;3620;901;7969.3;0.4;3;6.4;11.1;26.3
0;136;3;3525;1772;22522.3;0.9;5;9;16.3;36.1
0;136;4;495;409;9623;0.9;6.3;15.2;32;68.6
0;137;1;613;521;5589.2;1.4;4.3;8;14;30.5
0;137;2;1936;1845;26382.3;3;7.3;10.9;17.5;35
0;137;3;2544;2459;49680;3.4;9;14.9;25;53.8
0;137;4;1873;1837;48248.3;3.1;10.1;18.6;32.7;72.9
0;138;1;312;253;1770.4;1.4;3.7;6;8.9;16.3
