vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;090;2;61372;31.28;103.1;252.58;479.47;1090.64
0;090;3;80579;159.28;423.52;768.02;1286.06;3730.82
0;090;4;67593;453.04;877.4;1644.72;3041.93;6004.88
0;091;1;931;31.92;34.84;49.76;255.76;361.4
0;091;2;105225;22.2;74.4;154.63;215.71;456.24
0;091;3;56777;129.12;304.72;630.96;965.22;1753.12
0;091;4;50119;214.48;996.92;1461.64;3750.06;9060.48
0;092;1;257755;28.92;52.12;70.36;96.16;185.24
0;092;2;167490;36.56;70.56;91.68;135.48;268.28
0;092;3;48408;44.8;72.76;93.68;212.63;691.68
0;092;4;13712;156.84;371.96;701.94;1421.44;5499.78
0;093;1;278104;23.04;35.44;46.16;60.28;147.16
0;093;2;45469;21.52;36.84;49.48;79;282.27
0;093;3;28165;28.28;51.59;101.1;255.8;1198.32
0;093;4;13328;511.56;1793.89;3217.87;4869.96;6380.4
0;095;1;7935;16.6;31.12;42.04;55.08;156.11
0;095;2;2091;21.52;43.56;53.8;86.12;174.11
0;095;3;241;36.44;36.44;97.84;107.08;107.08
0;097;1;315467;15.84;27.96;36.52;48.12;121.14
0;097;2;76405;18.44;31.28;43.66;73.68;206.64
0;097;3;35528;23.32;36.72;69.96;214.92;1834
0;097;4;4095;55.8;122.6;236.2;1924.92;3566.84
0;098;1;724003;17;32.48;43.88;64.2;168.75
0;098;2;198169;15;33.64;52.9;103.28;369.83
0;098;3;156481;18.56;64.76;206.08;735.38;2691.38
0;098;4;162161;138;604.12;1381.04;2580.12;7186.5
0;110;1;33096;2.56;21.2;43.48;77.96;302.42
0;110;2;143643;4.08;27.12;58.64;167.88;1107.1
0;110;3;245674;14.4;71.56;170.04;434.96;1762.89
0;110;4;167554;48.48;278.84;831.52;1690.24;7069.76
0;111;1;79742;0;2.56;9.2;33.92;81.2
0;111;2;109969;0.28;6.88;22.34;52.44;125.08
0;111;3;24830;2;19.44;48.36;100.76;323.34
0;111;4;3187;4.24;69.56;123.24;613.6;1046.44
0;113;1;302969;0;2.52;11.92;37.32;103.56
0;113;2;369806;0;5.16;18;47.08;147.6
0;113;3;180351;1;17.12;56.4;148.57;710.79
0;113;4;66435;5.08;71;266.3;888.76;2849.34
0;114;1;133111;0;12.76;31.28;59.48;168.28
0;114;2;268764;0.16;12.44;33.68;82.24;479.52
0;114;3;298385;9.8;57.28;189.76;517.73;2883.63
0;114;4;129218;43.84;227.44;632.54;2121.48;11274.83
0;115;1;244921;0;0;0;0;7.6
0;115;2;116622;0;0;0;0;14.08
0;115;3;99769;0;0;5.6;108.07;600.18
0;115;4;68283;18.8;96.96;437.56;1077.2;2962.42
0;120;1;149042;40.04;91.26;136.32;232.69;454.96
0;120;2;359587;52.08;113.44;200.4;369.77;749.92
0;120;3;482202;80.08;224.7;443.78;787.32;2192.63
0;120;4;802436;244.72;668.24;1352.84;2842.76;7591.96
0;121;1;154277;7.84;45.08;91.36;156.2;337.52
0;121;2;384904;20.92;76;141.54;279.87;819.8
0;121;3;579604;42.08;145.4;303.04;663.38;2372.63
0;121;4;978901;177.52;587.68;1254.93;2475.64;8233.48
0;130;1;9563;87.04;169.24;383.26;1228.44;2142.4
0;130;2;116975;116.76;395.56;770.86;1347.36;2854.72
0;130;3;623050;237.76;630.75;1065.85;1870.52;4680.66
0;130;4;1100608;320.76;904.96;1780.15;3068.89;8201.2
0;131;1;96241;0;117.56;450;1134.19;2592.04
0;131;2;348921;2.08;210.35;787.68;1593.82;3384.86
0;131;3;364514;34.76;345.36;932.24;1569.6;3339.96
0;131;4;184741;257.64;993.84;1836.2;2816.32;9525.5
0;132;1;55;0;0;5.24;11.98;20.52
0;132;2;3111;0;1.64;8.52;39.56;839.39
0;132;3;3262;0;4.8;24.04;45;149.72
0;132;4;2812;0;35.64;143.37;247.84;1016.51
0;133;1;261;0;0;0;2.84;68.36
0;133;2;60408;0;5.72;36.64;105.56;411.48
0;133;3;154244;2.12;50.92;122.93;284.44;886.32
0;133;4;142554;0.84;141.4;331.79;700.44;2870.1
0;134;1;119697;14.72;45.72;72.12;108.04;205.56
0;134;2;452643;20.8;58.68;98.8;158.52;541.9
0;134;3;461271;35.4;91.44;156.9;278.04;1024.44
0;134;4;222363;18.92;176.56;436.86;1019.88;2536.76
0;135;1;104995;0.84;12.32;35.64;70.72;189.8
0;135;2;65903;3.92;24.62;51.96;93.16;231.36
0;135;3;175060;13.84;60.28;118.48;231.32;692.24
0;135;4;81957;43.32;152;400.36;703.08;1681.08
0;136;1;77640;0;3.44;32.8;75.36;449.2
0;136;2;987137;1.24;30.3;73.46;186.14;2536.36
0;136;3;1529418;10.52;69.77;170.41;414.18;2412.03
0;136;4;572799;52.02;206.83;524.49;1165.7;3923.29
0;137;1;103082;1.12;16.88;55.44;121.9;398.02
0;137;2;736756;16;78.12;151.28;313.52;796.36
0;137;3;2135737;43.72;140.08;286.2;570.28;1642.52
0;137;4;1265919;52.52;225.96;535.98;1120.8;3728.6
0;138;1;80309;0;1.72;5.52;14.48;39.28
0;138;2;112605;0;4.32;13.26;27.76;60.84
0;138;3;52787;0;4.6;13.5;33.76;116.85
0;138;4;17911;5.12;18.92;50.16;174.68;841.71
0;139;1;459636;5.48;18.6;37.56;78.12;190.12
0;139;2;2007610;12.96;45.51;95.6;171.54;473.68
0;139;3;3254437;28;93.68;170.22;332.48;903.52
0;139;4;1455227;40.2;178.13;375.3;764.76;2403.36
0;140;1;337290;0;29.24;62.88;111.64;265.84
0;140;2;1484468;1.88;49.8;95.88;165.64;477.64
0;140;3;2901312;21.6;80.76;142.84;268.52;742.76
0;140;4;2149722;65.96;180.9;373.5;690.2;1917.52
0;141;1;112582;0.36;6.8;18.04;41.56;111.04
0;141;2;154276;3.72;22.12;52.66;95.72;226.26
0;141;3;114513;5.12;26.8;62.88;129.1;386.24
0;141;4;19785;47.24;87.92;160.4;252.28;705
0;142;1;37797;0;3.6;32.06;68;208.88
0;142;2;142015;0;12.58;48.33;128.54;552.16
0;142;3;204970;4.12;45.24;110.76;264.36;951.48
0;142;4;139059;31.2;138.4;393.36;744.36;5419.27
0;143;1;51471;0;0;10.56;35.96;108.8
0;143;2;222039;0;2.12;28.16;76.72;304.68
0;143;3;459576;0;31.44;98.96;268.09;1176.92
0;143;4;312948;9.68;111.68;263.84;630.2;2559.24
0;144;1;234057;0;0;3.3;22.8;86.32
0;144;2;1757018;0;10.04;36.54;89.68;281.68
0;144;3;785444;4.16;38.8;96.68;205.58;765.5
0;144;4;262170;26.32;123.6;282.22;691;2582.05
0;160;1;3457;33.04;69.72;115.82;332.67;1251.66
0;160;2;5009;65.44;177.32;259.11;503.15;966.05
0;160;3;27911;121.32;236.07;449.24;1044.44;2600.69
0;160;4;52452;286.52;994.46;2135.45;3087.38;4295.61
0;161;1;115430;7.76;21.8;48.48;97.52;251.68
0;161;2;76051;18.4;82.9;189.48;354.24;1158.5
0;161;3;86379;76.56;404.96;790.49;1408.64;4580.12
0;161;4;131463;125.2;775.22;1925.07;3835.81;9600.89
0;162;1;19540;171;257.35;472.27;731.45;1489.98
0;162;2;89680;238.4;367.99;576.47;1010.51;2792.7
0;162;3;258690;287.52;561.19;972.75;1675.38;3443.01
0;162;4;464244;710.16;1307.58;2352.64;3641.85;6872.18
0;163;1;132254;177.43;245.68;311;423.44;797.6
0;163;2;711173;188.8;264.75;373.77;520.45;962.98
0;163;3;834063;212.54;341.72;515.32;820.67;1721.71
