vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;01;020;2;G;7;119.59;0.32;1.16;5.92;9.64;94.19
0;01;020;2;H;60;1113.88;1.2;2.16;4.36;12.14;88.84
0;01;020;2;J;151;4865.59;3.4;4.56;9.16;23.2;124.08
0;01;020;2;M;157;1835.31;3.28;6.8;9.36;15.24;30.44
0;01;020;2;N;170;31770.66;10.4;45.8;96.52;181.16;386.6
0;01;020;2;P;1;1.84;1.84;1.84;1.84;1.84;1.84
0;01;020;2;R;44;415.56;0.24;1.28;4.22;9.11;45.2
0;01;020;2;S;12;69.88;2.16;2.4;4.84;6.66;14
0;01;020;2;V;54;7253.38;4.08;57.76;138.6;138.6;346.48
0;01;020;3;A;162;2800.4;1.28;5.2;11.06;20;56.04
0;01;020;3;B;177;35124.66;29.76;62.4;95.92;181.28;855.72
0;01;020;3;C;127;5785;0.44;2.96;10.44;42.12;184.88
0;01;020;3;D;13;133.53;2.12;5.1;10.2;13.67;23.63
0;01;020;3;G;7;93.71;0.16;1;4.96;15.16;56.23
0;01;020;3;H;77;1625.68;0.28;2.51;7.96;18.95;88.48
0;01;020;3;J;155;18480.34;3.4;6.8;19.24;85.96;573.24
0;01;020;3;L;6;1196.31;0.44;3.93;18.21;37.22;1118.3
0;01;020;3;M;152;2358.96;3.72;6.8;10.34;18.86;40.76
0;01;020;3;N;175;33193.98;22.64;72.96;143.76;250.8;478.52
0;01;020;3;R;52;951.8;0.24;2.88;13.96;26.42;60.48
0;01;020;3;S;11;91;1.08;2.36;5.2;8.16;28.8
0;01;020;3;V;67;8143.64;2.04;41.12;87.04;138.6;263.96
0;01;020;4;A;309;15503.64;4.16;16.52;31.36;60.04;152.6
0;01;020;4;B;312;187387;75.06;202.6;387.04;746.37;1782.37
0;01;020;4;C;276;29862.98;1;10.98;30.74;104.4;568.32
0;01;020;4;D;67;752.29;1.69;2.32;5.1;12.94;44.8
0;01;020;4;G;11;43.04;0.28;0.4;2.48;5.92;14.24
0;01;020;4;H;182;6219.19;2.12;5.02;12.36;34.32;102.95
0;01;020;4;J;304;164599.07;4.56;45.78;253.12;779.64;1941.04
0;01;020;4;L;4;925.67;1.6;3.11;4.76;459.72;914.55
0;01;020;4;M;297;16174.82;4.68;12.64;23.56;48.8;171.16
0;01;020;4;N;312;241191.58;61.76;192.6;465.12;1003.48;2365.08
0;01;020;4;R;192;5761.16;0.66;5.36;14.44;34.79;119.32
0;01;020;4;S;47;349.3;2.14;2.16;2.8;7.6;30.24
0;01;020;4;V;204;27029.26;3.68;32.62;87.04;156.78;415.76
0;01;021;1;A;934;9694.06;0.48;2.32;5.96;12.24;31.68
0;01;021;1;B;1115;66457.96;6.84;25.52;43.88;65.28;119.36
0;01;021;1;C;585;10822.36;0.32;0.88;3.8;14.04;89.68
0;01;021;1;D;25;171.6;1.92;2.32;3.44;6.71;19.23
0;01;021;1;G;19;361.28;0.08;0.56;1.28;1.64;323.48
0;01;021;1;H;624;27286.73;2.16;6.88;26.32;51.84;158.76
0;01;021;1;J;959;18991.29;1.68;4.56;6.76;10.48;42.2
0;01;021;1;L;9;2414.63;1.01;3.51;27.36;193.84;1948.35
0;01;021;1;M;977;12270.76;3.28;6.8;9.36;14.68;29.8
0;01;021;1;N;1094;107976.44;10.76;48.2;84.68;132.08;224.56
0;01;021;1;P;1;1.32;1.32;1.32;1.32;1.32;1.32
0;01;021;1;R;161;2178.83;0.28;0.8;2.66;8.44;79.2
0;01;021;1;S;62;257.64;1.28;2.16;3.4;3.72;16.24
0;01;021;1;V;712;113504;44.92;87.04;138.6;207.6;327.68
0;01;021;2;A;1383;17875.02;0.48;2.96;7.36;15.04;43.44
0;01;021;2;B;1570;134694.77;12.96;34.8;56.62;85.36;203.8
0;01;021;2;C;1025;48189.78;0.32;2.84;8.76;41.72;194.56
0;01;021;2;D;40;309.52;1.68;2.43;3.46;8.28;36.75
0;01;021;2;G;25;109.1;0.24;0.84;3;5.92;14.06
0;01;021;2;H;979;59806.45;2.16;11.72;35.76;76.12;190.96
0;01;021;2;J;1203;50372.43;1.68;4.56;6.76;13.72;156.72
0;01;021;2;L;48;77975.7;1.48;16.76;268.31;1991.4;7286.37
0;01;021;2;M;1379;21759.24;3.28;6.8;9.8;18.68;41.6
0;01;021;2;N;1542;186341.43;10.76;56.32;98.8;157.84;288.56
0;01;021;2;R;337;3553.56;0.2;0.8;2.4;8.12;55.12
0;01;021;2;S;48;283;1.4;2.16;3.44;5.64;23.84
0;01;021;2;V;1237;215194.19;41.12;87.96;150.28;234.2;364.2
0;01;021;3;A;762;18840.38;1.68;6.12;13.38;27.04;74.24
0;01;021;3;B;796;124339.94;28.28;63.91;100.97;168.51;457.16
0;01;021;3;C;610;77707.87;0.32;4.92;29.22;123;697.2
0;01;021;3;D;47;432.4;1.92;3.32;5.1;10.39;32.84
0;01;021;3;G;15;148.16;0.56;1.52;5.92;12.08;42.8
0;01;021;3;H;583;50789.18;2.51;20.56;52.04;105.28;290.08
0;01;021;3;J;714;97983.17;3.36;4.56;10.16;33.32;734.08
0;01;021;3;L;24;60144.64;3.55;357.48;878.25;4627.91;7516.57
0;01;021;3;M;750;18880.25;4.64;9.36;14;28.04;67.92
0;01;021;3;N;794;154289.84;33.32;97.68;158.54;234.2;473.24
0;01;021;3;P;4;95.28;0.04;0.16;5.42;47.48;84.4
0;01;021;3;R;233;3077.14;0.32;1.6;4.5;12.15;55.88
0;01;021;3;S;37;180.72;1;2.16;2.64;5.32;16.24
0;01;021;3;V;701;150512.29;49.92;135.28;197.88;277.16;440.16
0;01;021;4;A;783;55563.38;5.48;19.08;38.04;79.48;233.72
0;01;021;4;B;802;512266.91;59.68;178.96;366;780.44;2014.08
0;01;021;4;C;710;193730.62;1.32;14.44;65.86;322.76;1265.28
0;01;021;4;D;153;1660.9;1.69;3.19;5.1;10.39;35.34
0;01;021;4;G;40;344.94;0.52;2.24;5.76;8.14;41.18
0;01;021;4;H;522;65332.3;2.16;9.8;49.12;148.88;456.44
0;01;021;4;J;769;555174.91;4.48;27.56;198.88;812.76;2966.36
0;01;021;4;L;43;54776.93;0.6;13.02;188.87;1347.58;7602.86
0;01;021;4;M;750;37668.94;3.52;9.36;20.36;42.04;123.54
0;01;021;4;N;800;477876.66;54.3;169.46;320.84;644.74;2205.96
0;01;021;4;P;8;553.96;10.56;11.16;44.34;131.86;168.68
0;01;021;4;R;479;14867.84;0.44;5.11;14.64;34.44;129.16
0;01;021;4;S;106;870.08;1.12;2.16;3.76;10.16;28.28
0;01;021;4;V;657;136229.21;9.16;87.48;179.52;281.2;480.44
0;01;022;1;A;63;257.21;0.48;0.88;1.88;4.64;12.68
0;01;022;1;B;147;2804.6;3.84;7.28;15.04;24.4;42.28
0;01;022;1;C;45;362.25;0.4;0.88;3.48;7.04;30.88
0;01;022;1;D;2;5.24;1.92;1.92;2.62;3.32;3.32
0;01;022;1;G;4;7.92;0.32;0.44;0.78;3.52;6.04
0;01;022;1;H;29;360.86;0.08;2.16;2.16;5.32;96.36
0;01;022;1;J;131;1399.41;1.68;4.56;4.56;9.16;22.84
0;01;022;1;M;128;1020.01;1.72;4.68;6.8;9.08;17.77
0;01;022;1;N;146;6332.37;14.12;29.84;38.06;51;82.44
0;01;022;1;R;16;65.52;0.16;0.4;1.94;7;20.04
0;01;022;1;S;3;18.12;2.16;2.16;3.52;12.44;12.44
0;01;022;1;V;17;585.36;1.64;3.44;20.04;41.12;230.12
