vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;759;3;65;21;1711.4;1.1;3.2;4.6;28.2;162.1
0;759;4;9;8;3000.1;45.8;94.1;144.1;539.2;1399.4
0;760;1;3038;19;390.4;0.4;3.9;7.2;33.9;145.4
0;760;2;989;85;3439.8;0.6;2.9;5.8;22.8;100.5
0;760;3;253;101;6596.2;0.9;5.7;21;67.4;266.6
0;760;4;22;18;7250.5;11.8;64.9;296.7;725.3;1119
0;770;1;354;11;68;1.4;2.2;3.2;9.3;21.5
0;770;2;253;19;1050.7;1.3;2.9;13.9;35.8;321.2
0;770;3;80;22;1435.1;3.4;6.8;12.9;34.6;139.2
0;770;4;8;4;659;6.9;66.2;140.5;263.3;371.1
0;772;1;577;28;278.7;0.8;2.4;5.4;13.4;35.6
0;772;2;712;67;1635;0.8;2.7;6.2;14.8;107.2
0;772;3;125;32;1396.2;0.4;5.6;13.1;38.3;343.9
0;772;4;9;8;2394.4;1.7;25.6;68;336.5;1532.6
0;773;1;121;3;15.7;3.1;3.1;3.8;8.8;8.8
0;773;2;215;22;725.6;1.1;3.4;7.6;15;218.4
0;773;3;63;23;647.4;4.5;8.8;23.1;39.3;74.6
0;773;4;8;5;764.5;31.8;39.4;114.1;202.3;376.8
0;774;1;70;2;6.4;1.8;1.8;3.2;4.6;4.6
0;774;2;140;5;30.9;1.9;2.2;4.6;9.5;12.7
0;774;3;17;2;151.4;33;33;75.7;118.4;118.4
0;774;4;1;1;74.1;74.1;74.1;74.1;74.1;74.1
0;775;1;4070;86;1671.7;1.4;4;9;20;69.5
0;775;2;3359;376;11693.8;0.9;4.1;9.9;34.9;130.5
0;775;3;1089;420;40186.7;2.3;8.7;34.1;91.3;484.7
0;775;4;153;128;47138.2;9.3;51.1;121.9;484.8;1188.8
0;776;1;379;11;154;0.4;2.9;4.5;19.5;78.9
0;776;2;566;108;3509.5;0.9;3.1;5.9;21.7;115.4
0;776;3;249;121;9260.4;0.8;4.2;18.5;76.3;348.9
0;776;4;20;16;8093.2;0.6;30.2;122.8;264.5;5454.6
0;791;1;2192;1423;37474.4;1.9;3.8;6.8;14.6;80.8
0;791;2;1323;996;68523.2;2;3.9;10.9;41.5;344.6
0;791;3;374;332;96848.3;3.6;21.6;86.8;351.6;1194
0;791;4;130;130;249122.3;24.1;223.8;552.9;1219.5;7356.8
0;811;1;689;59;776.8;0.6;2.4;5.4;19.5;44.3
0;811;2;349;58;1907.2;0.8;4.6;14.2;50.4;131.8
0;811;3;65;21;2233.8;2.3;8;42.2;68.5;215.4
0;811;4;11;8;1900.4;8.5;86.3;171.7;208.7;958.7
0;812;1;5563;158;2206.8;0.5;2.9;6.9;15.9;60.9
0;812;2;2819;296;10335;0.6;3.3;10.7;33;139.4
0;812;3;1191;629;39715.5;2.3;9.3;26.5;59.2;315.8
0;812;4;399;354;84789.1;4.5;37.4;79;280.4;809.2
0;813;1;2188;848;27806.8;1;3.6;9.1;29.5;150.3
0;813;2;2016;932;70747.6;0.9;4.6;18.9;60.8;302.5
0;813;3;965;631;131315.1;1.5;8.2;48;188.6;676.5
0;813;4;169;153;267688.8;7.6;96.5;339.3;712.9;7987.6
0;815;1;1336;80;915.8;1.1;2.8;4.9;13.5;40.5
0;815;2;674;217;9648.4;1.2;4.9;18.1;50.8;207.5
0;815;3;603;393;35529;2.3;10.3;31;76.2;391.5
0;815;4;185;167;34837.6;6.2;30.6;82.8;271.1;717.6
0;816;1;1428;43;532.8;2;2.3;7.6;13.9;45
0;816;2;575;65;1270.1;0.8;3.3;9.1;22.6;62.4
0;816;3;247;111;9184.3;1.8;9.4;24.8;51.3;450.8
0;816;4;75;63;15332.9;13.9;37.2;73.6;301.1;715.3
0;841;3;5;4;1874.1;78.5;202.9;522.1;734.1;751.4
0;841;4;16;16;56793.4;207.6;667.7;1326.9;3481.9;19578.9
0;842;1;39;15;1019.3;1.7;3.4;10.2;34.2;761.4
